Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
26-09-2022,0.446,0.451,0.436,0.447,125876450.8,27-09-2022,55919382.66,115519,62130028,27601719,0
25-09-2022,0.451,0.463,0.439,0.446,112039917.9,26-09-2022,50602220.32,102352,56541718.9,25548070.42,0
24-09-2022,0.462,0.469,0.45,0.451,122469926.2,25-09-2022,56445824.83,127076,63502553.5,29285745.62,0
23-09-2022,0.458,0.482,0.446,0.462,210001077.3,24-09-2022,96724525.74,231666,102088803.2,47038068.1,0
22-09-2022,0.439,0.467,0.434,0.458,155204297.3,23-09-2022,70261926.88,156812,78402554.5,35490625.79,0
21-09-2022,0.442,0.465,0.431,0.439,285433830.3,22-09-2022,127818721.4,283263,138424117,62085992.45,0
20-09-2022,0.453,0.455,0.437,0.442,107529839.9,21-09-2022,47790848.65,103395,52269798.6,23228970.1,0
19-09-2022,0.448,0.457,0.433,0.453,182324362.8,20-09-2022,80666453.53,164372,89171824.2,39487654.99,0
18-09-2022,0.486,0.49,0.44,0.448,128727598.1,19-09-2022,60081473.99,158464,58417836.4,27291927.48,0
17-09-2022,0.475,0.488,0.472,0.486,100281140.5,18-09-2022,48108806.28,110117,51616473.4,24777074.31,0
16-09-2022,0.466,0.475,0.454,0.475,102993446.9,17-09-2022,47695896.32,105894,49835102.1,23091640.34,0
15-09-2022,0.481,0.482,0.462,0.466,131971420.4,16-09-2022,62202501.33,167604,63937843,30142164.16,0
14-09-2022,0.464,0.487,0.462,0.481,139528796.3,15-09-2022,66491294.49,154898,67539660.6,32192421.58,0
13-09-2022,0.501,0.509,0.461,0.464,232872260.6,14-09-2022,112412238.6,245788,112470213.6,54300633.9,0
12/9/2022,0.51,0.52,0.496,0.501,168685217.5,13-09-2022,85772065.77,181094,83488451.3,42479706.92,0
11/9/2022,0.512,0.52,0.5,0.51,129240731.5,12/9/2022,66100249.61,140891,64238995.4,32865611.96,0
10/9/2022,0.502,0.524,0.494,0.512,194060696.5,11/9/2022,99626007.79,243238,99482480.4,51074537.7,0
9/9/2022,0.479,0.505,0.478,0.502,179504511.2,10/9/2022,88451502.74,189194,94056223.7,46345166.32,0
8/9/2022,0.479,0.483,0.463,0.479,113848178.5,9/9/2022,53876187.85,123035,55180048.4,26120030.57,0
7/9/2022,0.463,0.482,0.454,0.479,139305299.9,8/9/2022,64906839.21,147638,67906545.7,31665797.65,0
6/9/2022,0.498,0.512,0.459,0.463,233944338,7/9/2022,114451828.3,267081,114714848.7,56253278.39,0
5/9/2022,0.503,0.508,0.483,0.498,141753954.4,6/9/2022,69731932.31,159657,68623857.1,33764488.53,0
4/9/2022,0.48,0.51,0.476,0.503,199924106.3,5/9/2022,99202273.65,214052,103471180.5,51339679.82,0
3/9/2022,0.454,0.486,0.454,0.48,182225091.7,4/9/2022,86357210.97,198189,93791726,44445709.65,0
2/9/2022,0.458,0.467,0.449,0.454,106798749.5,3/9/2022,48875892.8,113867,53439150.1,24469961.93,0
1/9/2022,0.446,0.462,0.441,0.458,126696718,2/9/2022,57008792.41,136951,62789033.9,28257121.25,0
31-08-2022,0.453,0.463,0.445,0.446,115611898.1,1/9/2022,52745269.17,143809,56601174.9,25844919.59,0
30-08-2022,0.45,0.463,0.439,0.453,153120426.8,31-08-2022,68971751.05,158497,76135969.2,34346632.56,0
29-08-2022,0.429,0.453,0.424,0.45,144932469,30-08-2022,63485522.36,128018,72982989.6,31968724.87,0
28-08-2022,0.45,0.454,0.427,0.429,131217761.8,29-08-2022,58095473.22,126151,65884235.2,29173417.02,0
27-08-2022,0.431,0.451,0.426,0.45,188501508.5,28-08-2022,82887367.56,167683,93722456.3,41213933.54,0
26-08-2022,0.465,0.482,0.426,0.432,375988353.5,27-08-2022,173588167.7,326545,187613028.2,86764029.37,0
25-08-2022,0.458,0.474,0.457,0.465,119929958,26-08-2022,55717466.59,112831,62446800.9,29016953.89,0
24-08-2022,0.466,0.469,0.454,0.458,103361101.6,25-08-2022,47594285.67,108955,50904042.8,23443664.92,0
23-08-2022,0.461,0.47,0.446,0.466,124261125.9,24-08-2022,56977430.75,130366,64763011.6,29689920.97,0
22-08-2022,0.463,0.463,0.437,0.462,189193918.6,23-08-2022,85333908.8,162911,95703768.3,43165400.37,0
21-08-2022,0.451,0.473,0.447,0.463,169047210.7,22-08-2022,77737680.84,148360,85819511.4,39463875.5,0
20-08-2022,0.45,0.463,0.435,0.451,211122393.3,21-08-2022,95611356.93,187026,105701528.5,47870274.58,0
19-08-2022,0.512,0.512,0.446,0.45,328230521.1,20-08-2022,155307737.9,321047,161500954.4,76412557.17,0
18-08-2022,0.538,0.544,0.507,0.512,132313932.3,19-08-2022,70289325.27,152702,63981794.5,33994274.23,0
17-08-2022,0.557,0.583,0.53,0.538,234245028,18-08-2022,129841944.1,276728,115582402.6,64164043.93,0
16-08-2022,0.55,0.57,0.547,0.557,146450653.2,17-08-2022,81971962.44,177475,71235964,39886623.42,0
15-08-2022,0.57,0.582,0.543,0.55,190761668.9,16-08-2022,106781679.5,216862,87630699.7,49090470.05,0
14-08-2022,0.559,0.595,0.557,0.57,236011611.2,15-08-2022,136834261.5,286026,115086144.6,66762351.44,0
13-08-2022,0.54,0.568,0.538,0.559,193063122.5,14-08-2022,107428365.9,235604,100409214.4,55859049.68,0
12/8/2022,0.53,0.542,0.52,0.54,106913181.8,13-08-2022,56798284.45,120804,52287298.9,27790188.69,0
11/8/2022,0.537,0.548,0.529,0.53,155468308.4,12/8/2022,83894273.25,175859,77485038.8,41818326.57,0
10/8/2022,0.513,0.539,0.502,0.537,168972340.2,11/8/2022,88680355.87,192209,87371324.8,45888264.24,0
9/8/2022,0.537,0.537,0.506,0.513,143030490.2,10/8/2022,74616854.76,153935,66057381.1,34452649.02,0
